station_name,borough,entrance,lines
New Lots Av,Brooklyn,889 Livonia Avenue,"2,3,4,5"
Van Siclen Av,Brooklyn,745 Livonia Ave,"2,3,4,5"
Pennsylvania Av,Brooklyn,602 Livonia Ave,"2,3,4,5"
Junius St,,,"2,3,4,5"
Rockaway Av,Brooklyn,710 Rockaway Ave,"2,3,4,5"
Saratoga Av,Brooklyn,297 Legion Street,"2,3,4,5"
Sutter Av - Rutland Rd,Brooklyn,80 E 98 St,"2,3,4,5"
Crown Hts - Utica Av,Brooklyn,1074 Eastern Pkwy,"2,3,4,5"
Kingston Av,Brooklyn,291 Kingston Ave,"2,3,4,5"
Nostrand Av,Brooklyn,540 Eastern Pkwy,"2,3,4,5"
Franklin Av,Brooklyn,806 Franklin Avenue,"S,2,3,4,5"
Eastern Pkwy - Brooklyn Museum,Brooklyn,135 Eastern Pkwy,"2,3,4"
Grand Army Plaza,Brooklyn,10 Plaza St E,"2,3,4"
Bergen St,Brooklyn,243 Flatbush Avenue,"2,3,4"
Atlantic Av - Barclays Ctr,Brooklyn,590 Atlantic Ave,"B,D,N,Q,R,2,3,4,5"
Nevins St,Brooklyn,1 Flatbush Avenue,"2,3,4,5"
Hoyt St,Brooklyn,464 Fulton St,"2,3"
Borough Hall,Brooklyn,Joralemon Street,"2,3,4,5,N,R,W"
Clark St,Brooklyn,80 Clark Street,"2,3"
Wall St,Manhattan,52 William Street,"2,3"
Fulton St,Manhattan,139 Fulton St,"A,C,N,R,W,J,Z,2,3,4,5"
Park Place Station,Manhattan,110 Church Street,"2,3"
Chambers St,Manhattan,Chambers Street,"1,2,3"
14 St,Manhattan,37 7th Avenue,"1,2,3"
34 St - Penn Station,Manhattan,421 7th Avenue,"1,2,3"
Times Sq - 42 St,Manhattan,7 West 42nd Street,"N,Q,R,S,1,2,3,7,7x"
72 St,Manhattan,2073 Broadway,"1,2,3"
96 St,Manhattan,250 West 95th Street,"1,2,3"
Central Park North (110 St),Manhattan,20 Malcolm X Boulevard,"2,3"
116 St,Manhattan,West 116th Street,"2,3"
125 St,Manhattan,86 W 125 St,"2,3"
135 St,Manhattan,515 Malcolm X Blvd,"2,3"
145 St,Edgewater,Malcolm X Boulevard,3
Harlem - 148 St,Manhattan,2569 Adam Clayton Powell Jr. Boulevard,3
